标题： 【生活大爆炸】1-11季，超清中英字幕 	 链接：http://tieba.baidu.com//p/5346512976 	 发帖人：候幻翠 	 发帖时间：9-28 	 回复数量： 0 
标题： 【资原贴】生活大爆炸1-11季，超清中英字幕 	 链接：http://tieba.baidu.com//p/5347252497 	 发帖人：候幻翠 	 发帖时间：9-29 	 回复数量： 0 
标题： 生活大爆炸1-10全季加11季 	 链接：http://tieba.baidu.com//p/5357028038 	 发帖人：竹下芣苡 	 发帖时间：20:44 	 回复数量： 0 
标题： 这个男生是不是行尸走肉的格伦 	 链接：http://tieba.baidu.com//p/4921777920 	 发帖人：EVET808 	 发帖时间：2016-12 	 回复数量： 17 
标题： 昨晚的风是大哦，房子盖盖都吹走 	 链接：http://tieba.baidu.com//p/5344520394?fid=1441624 	 发帖人：cc52013143 	 发帖时间：9-27 	 回复数量： 1 
标题： 无聊的地方 	 链接：http://tieba.baidu.com//p/5357021254?fid=1441624 	 发帖人：会樊 	 发帖时间：20:39 	 回复数量： 0 
标题： 一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：http://tieba.baidu.com//p/4664329650 	 发帖人：幽寒淡冷 	 发帖时间：2016-07 	 回复数量： 1267 
标题： 大佬们谁能扫一下这个二维码？ 	 链接：http://tieba.baidu.com//p/5327673776 	 发帖人：叁井丶 	 发帖时间：9-17 	 回复数量： 0 
标题： 生活大爆炸，史上第一个彩蛋。 	 链接：http://tieba.baidu.com//p/5284920269 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 5 
标题： 不结婚就是不孝吗？为了孝就随随找个人结婚吗？活着的为了什么？ 	 链接：http://tieba.baidu.com//p/5353425635?fid=1441624 	 发帖人：小太阳91h 	 发帖时间：10-3 	 回复数量： 20 
标题： 《生活大爆炸第11季》第二集录屏 	 链接：http://tieba.baidu.com//p/5356183549 	 发帖人：金大胖DGJTF 	 发帖时间：12:17 	 回复数量： 8 
标题： 佩妮把谢耳朵弄哭了 	 链接：http://tieba.baidu.com//p/5284499802 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 7 
标题： 话说谢耳朵他们几个的编程水平如何？ 	 链接：http://tieba.baidu.com//p/5356584302 	 发帖人：耳朵Moonpie 	 发帖时间：16:15 	 回复数量： 2 
标题： 生活大爆炸第三季 	 链接：http://tieba.baidu.com//p/5334582272 	 发帖人：hello染筱涵 	 发帖时间：9-21 	 回复数量： 33 
标题： 生活大爆炸之为什么我们的文化还要你来教 	 链接：http://tieba.baidu.com//p/5288157821 	 发帖人：冰缘瑞雪... 	 发帖时间：8-24 	 回复数量： 4 
标题： #生活大爆炸##ShAmy# 	 链接：http://tieba.baidu.com//p/5356668295 	 发帖人：Shamyyy 	 发帖时间：17:02 	 回复数量： 0 
标题： 这不是三只松鼠吗？ 	 链接：http://tieba.baidu.com//p/5307948896 	 发帖人：会飞的鱿... 	 发帖时间：9-5 	 回复数量： 27 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量： 5391 
